,기업이름,기업공고
0,"롤베이스, 딥러닝 기반 라이다, 카메라 소프트웨어 개발자","('롤베이스, 딥러닝 기반 라이다, 카메라 소프트웨어 개발자', ""사물의 '눈', 라이다(LiDAR)를 연구하고 개발하는 라이다 전문회사 에스오에스랩(SOSLAB)입니다. 에스오에스랩은 2016년 6월 설립되어 만 6년이 지난 기업으로, 시리즈 A+ 투자 유치에 성공하였고 현재까지 누적 투자액 약 170억을 달성 하였습니다. 무엇보다 CES2021에서 'CES혁신상'을 수상한 국내 최고의 라이다 전문 기업으로 2023년 IPO를 통해 한단계 더 성장하려는 준비를 하고 있습니다. 최고의 실력과 우수한 팀원으로 구성된 에스오에스랩의 로켓에 탑승하실 여러분을 모집합니다.주요업무롤베이스, 딥러닝 기반 라이다, 카메라 소프트웨어 개발실내/실외 맵핑 알고리즘 개발실내/실외 위치측위 알고리즘 개발자격요건롤베이스/딥러닝 기반 어플리케이션 개발을 경험해보신 분PyTorch, Tensorflow 등을 능숙하게 다루시는 분데이터넷 생성 및 학습, 추론 프로세스에 대해 전반적인 이해와 경험이 있으신 분LiDAR에 대한 이해가 있으신 분C++을 능숙하게 다루시는 분ROS / ROS2 기반 개발 경험이 있으신 분우대사항딥러닝 기반 프로젝트 리딩 경험이 있으신 분Python, C++ 모두 능숙하신 분포인트클라우드, 이미지 모두 활용한 프로젝트를 경험해보신 분AWS를 이용한 프로젝트를 경험해보신 분DevOps, MLOps에 대한 이해가 있으신 분라이다/카메라/IMU/GPS 융합 정밀지도 작성, SLAM, 위치측위 개발 경험이 있으신 분혜택 및 복지· 직급 없이 닉네임으로 부르는 호칭· 자율 출퇴근제· 재택근무 가능· 징검다리 휴일 자동 휴무· 입사장비 300만원에서 자유롭게 선택· 3년에 200만원 이내 컴퓨터 교체 가능기술스택 ・ 툴TensorflowPythonC++"")"
1,[전문연구요원 산업기능요원 가능] AI서비스 딥러닝/머신러닝 엔지니어 [자연어 처리],"('[전문연구요원 산업기능요원 가능] AI서비스 딥러닝/머신러닝 엔지니어 [자연어 처리]', '[회사]‘함께 더 이야기하고 싶은 AI를 만드는 사람들’ 마인드로직은 2019년1월에 설립된 스타트업입니다.  마인드로직은 최첨단 자연어처리(NLP), 음성합성(TTS), 이미지합성(Vision) 기술들을 종합적으로 활용하여 사용자가 직접 (감성적 대화를 비롯한 상호작용을 할 수 있는) AI를 만드는 서비스를 제공합니다. 2020년에 모바일 앱 “가상남녀”를 출시하여 사용자들의 좋은 반응을 얻고 있으며, “가상남녀” 외에도 혁신적인 신규 서비스들을 개발하고 있습니다.    [투자]마인드로직은 2019년1월 설립된 이후로 2년의 짧은 기간 동안 시드투자와 시리즈A 투자를 유치하였으며, TIPS프로그램에 선정되었습니다. 마인드로직 투자사: •\t쿠팡, 토스 등 대표적인 유니콘, 데카콘 기업들의 초기 투자자로 유명한 Tekton Ventures와 Partech Partners•\t당근마켓과 코빗의 투자자인 Strong Ventures•\t창업자들이 가장 투자받고 싶어하는 대한민국 1호 엑셀러레이터 Primer와 PrimerSazze•\t국내의 존경받는 투자사인 DSC Investment [팀]   국내외 최고 수준의 AI 개발팀과 모바일서비스 개발팀이 자율적인 문화에 기반하여 도전적으로 일하고 있습니다.  또한, 김용우, 김진욱 공동창업자는 다양한 창업, 컨설팅, 대기업, VC 경험을 바탕으로 팀이 최상의 문제해결역량을 발휘할 수 있도록 리드하고 있습니다.    [관련 기사 참조]http://it.chosun.com/site/data/html_dir/2019/09/25/2019092500452.htmlhttp://www.aitimes.com/news/articleView.html?idxno=132070 https://startup.kaist.ac.kr/archives/29491주요업무Python, Machinelearning 자연어 처리 및 챗봇용 신경망 구현 (의도 파악, 맥락 반영, 문장 생성 등)자격요건•\tPytorch 프레임워크 사용 경험•\t자연어처리, 챗봇 관련 논문들의 구현 경험•\t딥러닝 모델 배포 경험우대사항•\t상용 챗봇 운영 경험혜택 및 복지•\t구성원의 개인 생활 및 영역에 대한 존중•\t개개인의 상황을 최대한 배려하여 인사/복지에 적용•\t합리적이고, 서로를 존중하는 의사소통•\t워라벨 등 기타 당연한 사항들은 생략합니다. 인터뷰 중에 얼마든지 물어봐 주세요.')"
2,AI 엔지니어 머신러닝/딥러닝 선임연구원,"('AI 엔지니어 머신러닝/딥러닝 선임연구원', '엔키스는 스마트팩토리, 자율주행, 스마트시티에서 발생하는 빅데이터를 분석하여 딥러닝을 기반으로 Anomaly Detection, Predictive Maintenance 등이 가능한AI 모델링과 AI 서비스를 원활하게 제공할 수 있는 클라우드 서비스 플랫폼을 개발, 운영하는 기업입니다.주요업무- AI 모델 개발- 빅데이터 분석 및 통계 모델링 수행- 제조 빅데이터 수집/가공/처리- Tensorflow/Pytorch 기반의 AI 모델 구현 및 응용 서비스 개발자격요건- 딥러닝 분야 (인공지능 프로젝트 등 포함) 경력 2년 이상- GAN 모델링, Semi-supervised GAN 모델링, f-AnoGAN 모델링 실무 적용 경력- 동적 객체 Instance Segmentation, Panoptic Segmentation 개발 경험자- Tensorflow / KERAS / pyTorch 프로그래밍 각각 2년 이상의 경력자- 적극적이고 긍정적인 태도로 동료와 코드 리뷰, 협업하는 것을 즐기시는 분우대사항- GAN, f-AnoGAN모델 등의 Anomaly Detection 실무 경력- 강화학습 프로그래밍 실습 경험자- LSTM, CNN, Convolutional LSTM 등의 개발 경험 및 프로젝트 수행 경험자혜택 및 복지• 주40시간 근무, 자율 출근• 월 1회 문화의 날(Enkis Day)• 개인 필요장비지급(모니터,최신사양업무용노트북), 맥북프로 + 모니터 제공• 스터디 모임 지원, 대학원 등록금 지원(성과 평가 우수자), 인공지능교육, 사내 교육• 고급 커피 제공, 간식 제공(팀장 사비를 털어서라도)• 자율 휴가제, 출산 · 육아휴직, 육아기 단축근무, 출산 휴가• 경조사비, 종합 검진 제공, 4대 보험• 매년 복지포인트 지급기술스택 ・ 툴ReactJavaScript')"
3,[SeeSo SDK] 시선추적 머신러닝/딥러닝 연구자,"('[SeeSo SDK] 시선추적 머신러닝/딥러닝 연구자', '[비주얼캠프 소개]비주얼캠프는 인공지능기반 시선추적(eye-tracking)기술을 개발하고 있습니다. 2020년에 세계 최초로 상용화된 시선추적 모바일 소프트웨어인 SeeSo를 런칭하였습니다.SeeSo는 모바일, 데스크톱에서 별도의 하드웨어 없이 시선추적이 가능하도록 하는 제품으로 런칭 1년만에 2021 GSMA 글로벌모바일 어워드, 2022 CES 혁신어워드 에서 연달아 수상하는 등 세계 무대에서 혁신성과 시장성을 인정받고 있습니다.[R&D팀 소개]R&D팀은 전세계 모든 고객(개발자)들이 편리하게 시선추적 서비스를 만들 수 있도록 최신 시선추적 알고리즘을 연구하고, SeeSo SDK를 개발하고 있습니다.2021 GSMA 글로벌 모바일 어워드 : https://www.venturesquare.net/832208 2022 CES 혁신어워드 : https://www.nextunicorn.kr/content/483cbc8e28d11888 SeeSo Youtube : https://www.youtube.com/channel/UCYVqCTpyk_M6qTMYGbnv2nQ SeeSo Tech Blog :  https://blog.seeso.io/[팀 업무 방식]1. 수평적인 구조와 자율 출퇴근   • R&D팀은 팀원들이 본인들의 역량을 최대한 발휘할 수 있도록 수평적인 소통 구조를 추구합니다.   • 자율 출퇴근을 통해 본인에게 가장 적합한 시간대에 근무할 수 있도록 배려하고 있습니다.2. 데일리 업데이트   • R&D팀은 매일 서로간의 업무에 대해서 공유합니다.   • 업무공유를 통해 서로간의 일을 협력하여 해결을 하도록 진행합니다.3. 논문 리뷰   • R&D팀은 기술적 도약을 위해 ML/DL 또는 시선추적 관련 논문들을 리서치하고 팀원들과 매주       공유합니다.   • SeeSo 성능 개선을 위해 최신 논문에서 아이디어를 발굴하고 실험을 진행합니다.[채용 절차]서류 전형 → 1차 인터뷰 → 2차 인터뷰\n   • 1차 인터뷰(화상, 30분 정도): 본인 소개, 회사 소개, 질의 응답, 기존에 했던 프로젝트 경험, 비전       기술에 대한 질의 응답   • 2차 인터뷰(화상 혹은 사내, 1-2시간 정도): 임원 면접 및 심층 기술 질문주요업무R&D팀에서는 시선추적에 필요한 다양한 기술을 연구합니다.    • 시선추적 기술 연구       • 시선추적에 필요한 딥러닝 모델들을 학습 및 실험       • 새로운 머신러닝, 시선추적 관련 논문들을 리뷰하며 더 나은 기술 탐색   • Pipeline 구축       • 모바일 전면카메라, PC 웹캠의 얼굴 이미지로 시선추적이 가능한 파이프라인 구축       • 전체 파이프라인의 성능향상을 위해 새로운 알고리즘과 방법론을 제시   • SDK 배포       • 학습한 모델을 다양한 환경에서 사용되도록 배포자격요건• C++/Python 프로그래밍에 능숙하신 분• 팀원들과 적극적으로 소통할 수 있는 분 • 스스로 동기부여가 되는 분• 학습능력이 좋은 분• Computer vision, Image processing, Machine learning 이론에 대한 전반적인 이해• DL Frameworks(TensorFlow 또는 PyTorch) 사용 경험이 있으신 분• 최신 논문을 읽고 구현할 수 있는 분우대사항• 컴퓨터 비전, 인공지능 관련 분야 학위가 있으신 분(석/박사 우대)       • Face Landmark Detection, Face Reconstruction       • Computer graphics, 3D Reconstruction, 3D Geometry       • Computational photography       • Gaze Estimation 과 관련된 모든 분야• Computer Vision 프로젝트 경험자• 최신 기술 동향을 놓치지 않고 파악하여 문제를 해결할 수 있는 능력• 탑 티어 컨퍼런스/SCI 논문 저자혜택 및 복지• 희망 연봉 기재, 경력이 있으신 분들은 이전 직장 연봉 이상으로 협의• 스톡옵션 부여• 자율 출퇴근 (오프라인 미팅 매주 금요일 10:00)• 자율 휴가제도 (+여름 휴가제도)• 원하는 간식 무한제공, 석식 지원, 스타벅스 커피가루 + 커피 포트• 도서 구입비 무한지원, 세미나 참가비 지원, 스터디 모임 지원• 개인장비 지원 (최신형 맥북 프로, iMac, PC, 대형 모니터)• 4대보험기술스택 ・ 툴GitGithubLinuxPytorchTensorflowPythonAWSC++Docker')"
4,[VoyagerX] 딥러닝 모델 개발자,"('[VoyagerX] 딥러닝 모델 개발자', '보이저엑스는 더욱 즐겁고 편리한 삶을 돕는 인공지능 소프트웨어를 개발하는 스타트업 입니다.딥러닝에 대한 믿음, 대자연에 대한 경외, 새로운 제품에 대한 모험, 동료들간의 신뢰, 사람에 대한 사랑을 바탕으로 일을 하고 있습니다.보이저엑스와 우리의 삶을 더욱 편리하고 즐겁게 하는 인공지능을 함께 만들어 갈 딥러닝 모델 개발자를 채용하고자 합니다.아래 자격 요건에 맞고 주요 업무가 마음에 드시는 분들께서는 지원해 주시기 바랍니다.■ 연봉 : 신입 기준 최소 4,800만원 이상에서 협의■ 사무실: 서울 서초역에서 5분 거리, 마제스타시티 타워1 10층■ 지원 기간: 채용 완료시까지■ 채용 절차: 서류 심사 - 면접1. 서류 심사: 아래 내용을 자기소개서에 담아 이력서와 함께 제출해주세요. 1차 서류에 아래 내용이 포함되시지 않은 분께는 이메일을 통해 따로 서류 제출을 요구드릴 수 있습니다. 1) 자격 요건에 본인이 얼마나 잘 맞는가2) 아래 자격요건의 기술 질문에 얼마나 잘 대답할 수 있는가2. 면접: 직원, 대표와의 면접을 2차, 필요시 최대 3차까지 볼 수 있습니다.주요업무1. 업무내용:• Vrew, vFlat, 온글잎 등 인공지능 서비스에 필요한 모델을 개발. 세상에 없던 새로운 모델을 처음부터 개발하거나 이미 세상에 나와있는 모델을 응용하여 변형된 모델을 개발함2. 업무 관련 기술: Tensorflow, PyTorch3. 참고: 현재 Vrew, vFlat, 온글잎이 각각 개발했거나 이용 중인 모델• Vrew:  - 개발 시간 중 모델링 비중: 20%  - 자사 모델: 음성과 텍스트의 싱크, 자막 줄 바꿈, 무음 구간 줄이기, 박수 소리 인식  - 타사 모델: 음성 인식, 번역• vFlat:  - 개발 시간 중 모델링 비중: 60%  - 자사 모델: 스캔 영역 인식, 곡면의 평면화, 손가락 이미지 제거, 그림자 제거, 색상보정  - 타사 모델: 문자 인식• 온글잎:  - 개발 시간 중 모델링 비중: 90%  - 자사 모델: 템플릿 파싱, 폰트 생성자격요건A. 모든 개발자 공통 요건• 개발을 좋아함• 수학을 좋아함• 딥러닝에 관심이 많음• 협업이 두렵지 않음• 책임감이 강함B. 딥러닝 모델 개발자 요건• 딥러닝이 앞으로 점점 더 많은 문제를 해결할 거라고 믿음• 실질적인 문제 해결에 보람을 느낌• 완벽만큼 완성을 중요하게 생각함C. 딥러닝 모델 개발자 기술 질문: 5개 이상 잘 대답할 수 있어야 함• Gradient Descent란?• Loss Surface란?• Attention이란?• Transformer란?• Collaborative filtering이란?• Few-Shot Learning이란?• Federated Learning이란?• SVD란?• 중심극한정리란?혜택 및 복지• 휴가사용은 자유롭게 + (무급) 휴가 무제한• 동료와 원활한 협업을 위해 11시부터 6시 사이에 근무.   - 주당 40시간 약속만 잘 지키면 되며, 그 외 시간은 구성원이 자유롭게 조정할 수 있습니다.• 주1회 재택근무 및 협의시/코로나방역시 재택근무 추가 가능• 일과중 아무때나 카페에서 일할 수 있음 (전체회의이어도 카페에서 원격 참석 가능)• 넓은 사무실/ 가로 180짜리 책상에 큰 서랍 / 전동식 스탠딩 데스크 가능• 키보드, 마우스, 모니터 최고급 사양/ 개인맞춤형 구매• 소프트웨어, 하드웨어, 사무용품, 책 원하는 만큼• 좋은 커피, 음료 및 과자무제한, 맥주무제한• 간단한 운동 가능 (운동 및 휴식공간)• 퍼즐, 레고, 보드게임 등 간단한 놀이 가능 (회사비용으로 구매)• 공식적 회식은 연 1회 수준 (팀회식은 점심에 맛집에서)기술스택 ・ 툴AndroidiOSPytorchReactTensorflowWebGLJavaJavaScriptPythonSwiftTypeScriptAWSNodeJSGCPFlutter')"
5,Data Scientist (머신러닝/딥러닝 엔지니어),"('Data Scientist (머신러닝/딥러닝 엔지니어)', '""Perfect Fit Everywhere. 언제 어디서나 완벽한 핏을""펄핏 (Perfitt)은 빠르게 성장 중인 신발 AI 테크(Shoe AI Tech) 회사입니다.브랜드 또는 디자인, 소재마다 조금씩 다 다른 신발 사이즈.온라인 구매를 했더니 사이즈가 안 맞아서 반품하거나 그냥 신발장에 방치된 신발들.온라인으로 신발을 구매하는 소비자들 중 90%는 자신에게 맞는 Size 선택이 어렵다고 합니다.Perfitt은 우리 일상 속에 \'작은 불편함\'을 찾아내고 이를 완벽하게 해결할 수 있는 최선의 방법을 고민합니다.""이런 서비스가 언젠간 나올 것 같았는데, Perfitt이 하고 있었군요.""""신발 살 때 너무 불편했는데, 대박이네요. 꼭 필요한 서비스인 것 같아요.""요즘 저희 팀이 40만명 이상의 고객들과 신발 업계에서 가장 많이 듣는 피드백입니다.Perfitt은 기존의 리뷰 기반의 사이즈 추천 방식을 벗어나 사용자의 발 촬영을 통해 실제 발의 길이, 너비 뿐만 아니라 발의 모양에 대해 정확하게 측정하고 각 신발에 대한 신발 사이즈를 추천해 주는 서비스를 개발하고 있습니다.Perfitt App은 2020년 1분기 서비스를 시작하였고 해마다 2배 이상의 성장을 거듭하며 현재 40만 명 이상의 가입자와 80만 건 이상의 발 데이터를 확보하였습니다. 같은 기간 동안 124만 번의 사이즈 추천과 95%에 가까운 추천 사이즈 만족도를 달성 중 입니다.Perfitt은 빠르게 고속 성장 중이며 빠른 성장 속도에 맞춰 대규모 채용을 진행하고 있습니다.글로벌 엑셀러레이터 SparkLabs, TBT 파트너스, 캡스톤 파트너스, 선보엔젤파트너스, 씨엔티테크로부터 투자를 유치하였습니다.주요업무• 측정 및 분석 엔진 개발    - 2D Image        - DL 모델을 활용하여 발 사이즈 측정 기술 개발        - 사이즈 추천에 사용 할 feature extraction    - 3D Object 측정 및 분석        - 3D 추정 DL 모델을 활용하여 발 사이즈 측정 기술 개발        - LiDAR센서를 활용하여 발 사이즈 측정 기술 개발        - 3D 결과물로 부터 사이즈 추천에 사용 할 feature extraction• 추천 엔진 개발    - 사이즈 추천 엔진을 위한 데이터 분석 및 분류(예측)을 위한 DL 모델 개발    - 고객 데이터 분석을 통한 가설 검증 및 Insight 도출, 결과 해석자격요건• knowledge    - computer vision, image processing 관련 개발 경험    - 논문 기반 deep learning 모델 개발 경험• skill    - python, deep learning framework 1가지 이상(tensorflow, pytorch, caffe 등)우대사항• LiDAR 센서 활용 경험• 모바일 경량화 개발 경험• DL모델 serving 환경 개발, 모델 자동 업데이트, CI/CD 등 MLOps 직무 경험• linux 환경, docker, pycham 사용 경험• 3D point cloud 데이터 전처리 경험• 통계, 산업공학, 컴퓨터공학 등 데이터 분석 관련 전공자 또는 데이터 분석 실무 경력 1년 이상이신 분• 비즈니스 모델과 서비스 요구사항을 데이터 관점으로 이해하고 분석 적용이 가능하신 분• 통계적 분석과 기계학습을 이용한 분석을 통해 데이터에 대한 Insight 도출이 가능하신 분• 대용량 데이터에 대한 전처리 및 Feature Engineering 경험이 있으신 분• Tensorflow, Keras, Torch, Caffe 등 Deep Learning Framework를 활용한 프로젝트 경험이 있으신 분혜택 및 복지• 생산적으로 일하기 위해 하이브리드 근무제(시범적용)와 탄력근무제를 지원합니다. (기본 10-19) 사무실 출근과 재택 근무를 자유롭게 선택하여 근무할 수 있습니다.• 휴가는 눈치보지 않고 30분 단위로 쓸 수 있습니다. (시간 단위 연차 운영)• 수평적인 분위기 (서열 파괴, 호칭 파괴)• 최고의 인재를 위한 최고 수준의 업무용 장비(맥북 프로 혹은 동급 사양 + QHD 모니터)를 지원합니다.• 업무 관련 비용 100% 지원• 생일자 조기퇴근 (생일 축하해요)• 빈브라더스 커피를 무한 제공합니다기술스택 ・ 툴ExpressJSMongoDBJavaScriptKotlinNode.jsSwiftMVVMAWSjQueryReact.jsFigma')"
6,AI 엔지니어 (머신러닝 ML/딥러닝 DL),"('AI 엔지니어 (머신러닝 ML/딥러닝 DL)', ""- 아이네블루메는 채팅형 콘텐츠 플랫폼, 채티를 서비스합니다.아이네블루메는 누구나 쉽고 재밌게 채팅형 콘텐츠를 만들 수 있는 '채티'를 서비스하고 있습니다. 2018년 4월 정식 런칭한 채티는 Z세대의 관심 속 가파르게 성장했습니다. 현재 누적 사용자 360만명을 기록 중이며, 매월 50만명이 넘는 사용자가 채티를 애용하고 있습니다.- 채티에서는 하루 평균 6,000개가 넘는 작품이 만들어지고 있습니다.채티 사용자들은 90분이 넘는 일 평균 사용시간을 기록하며 작품 창작과 감상에 몰두하고 있습니다. 사용자들의 열정으로 만들어진 작품들은 채팅형 콘텐츠를 넘어 네이버 웹툰, 오디오 클립으로 제작되기도 하였습니다. 그리고 곧 채티 원작의 웹 드라마가 제작될 예정이랍니다.- 메이저 투자사들로부터 누적 100억의 투자유치채티의 주목할 성과와 비전에 공감한 투자사로부터 누적 100억 규모의 투자를 유치하였습니다. 카카오벤처스, 두나무앤파트너스, 프리미어파트너스, 파트너스인베스트먼트, 베이스인베스트먼트, 대성창업투자 등 든든한 파트너사들이 채티와 함께해주고 있습니다.- 채팅형 콘텐츠로 열어가는 새로운 콘텐츠 플랫폼채티의 전체 사용자 중 작품 창작에 참여하는 사용자 비중은 20%가 넘습니다. 다른 콘텐츠 플랫폼과 비교해 매우 높은 수치인데요, 이는 누구나 쉽고 재밌게 작품을 만들어 낼 수 있는 채티의 매력 때문입니다. 아이네블루메는 이런 사용자 창작 에너지가 새로운 콘텐츠 시장을 열어갈 것이라 믿습니다. 창작과 감상의 경계가 사라진 채티에는 '콘텐츠 무한 생산'과 '콘텐츠 무한 소비'라는 새로운 가능성이 기다리고 있습니다.주요업무• 콘텐츠 개인화 추천 AI 설계 및 모델링, 개발• 머신러닝 & 딥러닝 플랫폼 이용해서 콘텐츠 분류 및 개인화 추천 서비스를 위한 기반 기술 연구• 자연어 처리 및 분석 알고리즘 구현자격요건• 머신러닝/딥러닝 기반의 Prediction을 B2C 서비스에 연동경험이 있으신 분• Python 사용 경험이 있으신 분• OS, Network 를 중심으로 컴퓨터공학에 대한 기본 지식이 탄탄하신 분• 다음 항목 중 두 가지 이상에 해당되는 분   - AWS 혹은 GCP와 같은 클라우드 플랫폼 환경에서 AI 엔지니어링 경험이 있으신 분   - 리눅스 환경에 대해 잘 이해하고 계신 분   - 컨테이너 환경에 이해가 있으신 분• AI 엔지니어링 경력 3년 이상우대사항• 아키텍처 설계에 관심이 있고 능동적으로 더 좋은 코드를 만들기 위해 노력하시는 분• 다양한 타입의 데이터베이스(RDBMS, NoSQL 등)를 적재적소에 활용하실 수 있는 분• Deep Collaborative Filtering을 B2C 서비스에 운영해보신 분• ML 관련 Low latency API 개발 경험이 있으신 분• B2C 서비스의 실시간 빅데이터 환경에서 Online Learning 또는 짧은 주기의 배치로 학습해보신 분• Devops 경험 (Infrastructure as Code, 배포 자동화, CI, TDD, 모니터링 등)• 서비스에 대한 애착과 책임감이 있으신 분혜택 및 복지채티는 이렇게 일해요!• 책임과 신뢰를 기반으로 개인의 자율성을 존중합니다• 의미 있는 실패를 지향하고 그 안에서 얻는 경험을 중시합니다• 스스로 문제를 찾고 적극적으로 해결합니다• 업무와 관련한 정보는 모두가 투명하게 공유합니다• 데이터 기반의 합리적이고 논리적인 의사결정을 지향합니다• 사용자 입장에서 생각하고 사용자 가치를 우선합니다• 누구든 자유롭게 의견을 말하고 적극적으로 피드백을 나눕니다• 서비스의 성장만큼 개인의 성장을 중시합니다채티는 이런 환경에서 일해요!• 콘텐츠 서비스 스터디를 위한 콘텐츠비 지원 (웹툰, 웹소설, 영화, 드라마 등)• 업무 관련 도서 구매 지원 (무제한)• 업무 관련 세미나 및 스터디 적극 지원 (애자일 코칭 등)• 투명하고 효율적인 커뮤니케이션을 위한 업무 도구 사용 (Google Workspace, Slack, Notion 등)• 생산성 향상을 위한 리모트 근무 지원• 업무 필요 장비 적극 지원 (최신형 맥북, 34인치 와이드 모니터, 모니터 암, 허먼밀러 의자)• 삼성중앙역 10초 거리• 점심 식대 제공• 편의점 간식 지원, 라운지에 드롱기 커피머신과 신선한 원두 구비• 개인물품을 보관할 수 있는 개인 락커 제공• 업무 환경 개선을 위한 피드백 적극 수렴 및 반영채티는 이런 동료와 함께 일하고 싶어요!• 콘텐츠(웹툰, 웹소설, 영화, 드라마 등)를 좋아하거나 관심이 많으신 분• 자유로운 업무 환경에서 신뢰와 책임을 바탕으로 스스로의 역할을 찾을 수 있는 분• 함께 일하는 동료를 존중하고 함께 성장할 수 있는 분기술스택 ・ 툴GitGithubAndroidiOSLinuxMySQLReactJavaScriptKotlinPythonSQLSwiftAWSDocker"")"
